Date,Close,20_MA,50_MA,RSI,Signal,Position,Daily_PnL,Cumulative_PnL
2025-02-25,1204.0,1241.8075012207032,,,0,0,-0.0,0.0
2025-02-27,1207.0999755859375,1239.5099975585938,,,0,0,0.0,0.0
2025-02-28,1200.0999755859375,1236.2599975585938,,,0,0,-0.0,0.0
2025-03-03,1171.25,1231.5924987792969,,,0,0,-0.0,0.0
2025-03-04,1161.9000244140625,1227.3924987792968,1239.2649975585937,,0,0,-0.0,0.0
2025-03-05,1175.5999755859375,1221.9125,1238.3219970703126,,0,0,0.0,0.0
2025-03-06,1209.5999755859375,1218.4825012207032,1238.1829956054687,,0,0,0.0,0.0
2025-03-07,1249.800048828125,1216.895001220703,1238.7579956054688,,0,0,0.0,0.0
2025-03-10,1238.4000244140625,1215.4800048828124,1239.3119970703126,,0,0,-0.0,0.0
2025-03-11,1247.300048828125,1215.1625061035156,1239.9489990234374,,0,0,0.0,0.0
2025-03-12,1257.050048828125,1216.272509765625,1240.665,,0,0,0.0,0.0
2025-03-13,1247.9000244140625,1217.8400085449218,1240.7869995117187,,0,0,-0.0,0.0
2025-03-17,1238.8499755859375,1218.9775085449219,1240.5409985351562,,0,0,-0.0,0.0
2025-03-18,1238.8499755859375,1220.0575073242187,1240.957998046875,,0,0,0.0,0.0
2025-03-19,1247.1500244140625,1221.1700073242187,1241.0839990234374,,0,0,0.0,0.0
2025-03-20,1269.1500244140625,1223.3575073242187,1241.1569995117188,,0,0,0.0,0.0
2025-03-21,1276.3499755859375,1225.802508544922,1241.5889990234375,,0,0,0.0,0.0
2025-03-24,1302.0999755859375,1229.2575073242188,1242.792998046875,,0,0,0.0,0.0
2025-03-25,1285.449951171875,1232.1225036621095,1243.7049975585937,,0,0,-0.0,0.0
2025-03-26,1273.050048828125,1235.0475036621094,1244.3909985351563,,0,0,-0.0,0.0
2025-03-27,1278.199951171875,1238.757501220703,1244.9109985351563,,0,0,0.0,0.0
2025-03-28,1275.0999755859375,1242.1575012207031,1245.0839990234374,,0,0,-0.0,0.0
2025-04-01,1252.5999755859375,1244.7825012207031,1244.0889990234375,,0,0,-0.0,0.0
2025-04-02,1251.1500244140625,1248.7775024414063,1243.0030004882813,,0,0,-0.0,0.0
2025-04-03,1248.699951171875,1253.117498779297,1242.5030004882813,,0,0,-0.0,0.0
2025-04-04,1204.699951171875,1254.5724975585938,1241.055,,0,0,-0.0,0.0
2025-04-07,1165.699951171875,1252.3774963378905,1239.0959985351562,,0,0,-0.0,0.0
2025-04-08,1182.199951171875,1248.997491455078,1237.8139965820312,,0,0,0.0,0.0
2025-04-09,1185.3499755859375,1246.344989013672,1236.9339965820313,,0,0,0.0,0.0
2025-04-11,1218.949951171875,1244.9274841308593,1236.6249951171876,,0,0,0.0,0.0
2025-04-15,1240.0999755859375,1244.07998046875,1236.7169946289061,,0,0,0.0,0.0
2025-04-16,1239.300048828125,1243.6499816894532,1236.4419946289063,,0,0,-0.0,0.0
2025-04-17,1274.5,1245.4324829101563,1236.6299951171875,,0,0,0.0,0.0
2025-04-21,1295.5,1248.2649841308594,1237.2479956054688,,0,0,0.0,0.0
2025-04-22,1291.199951171875,1250.46748046875,1238.153994140625,,0,0,-0.0,0.0
2025-04-23,1300.0,1252.0099792480469,1238.4499951171874,,0,0,0.0,0.0
2025-04-24,1301.5999755859375,1253.272479248047,1238.9179956054688,,0,0,0.0,0.0
2025-04-25,1300.4000244140625,1253.187481689453,1239.2949951171875,,0,0,-0.0,0.0
2025-04-28,1368.800048828125,1257.3549865722657,1241.3369970703125,,0,0,0.0,0.0
2025-04-29,1399.699951171875,1263.687481689453,1244.2579956054688,,0,0,0.0,0.0
2025-04-30,1405.0,1270.0274841308594,1247.66099609375,,0,0,0.0,0.0
2025-05-02,1419.800048828125,1277.2624877929688,1251.72599609375,,0,0,0.0,0.0
2025-05-05,1431.300048828125,1286.197491455078,1256.0299975585938,,0,0,0.0,0.0
2025-05-06,1420.9000244140625,1294.684991455078,1260.102998046875,,0,0,-0.0,0.0
2025-05-07,1406.0,1302.5499938964845,1263.7249975585937,,0,0,-0.0,0.0
2025-05-08,1407.0,1312.6649963378907,1267.3569970703124,,0,0,0.0,0.0
2025-05-09,1377.199951171875,1323.2399963378907,1270.3519970703126,,0,0,-0.0,0.0
2025-05-12,1436.5,1335.9549987792968,1274.4219970703125,,0,0,0.0,0.0
2025-05-13,1415.699951171875,1347.4724975585937,1278.1729956054687,,0,0,-0.0,0.0
2025-05-14,1424.4000244140625,1357.7450012207032,1282.3699951171875,,0,0,0.0,0.0
2025-05-15,1454.199951171875,1368.45,1287.373994140625,,0,0,0.0,0.0
2025-05-16,1456.4000244140625,1379.304998779297,1292.3599951171875,,0,0,0.0,0.0
2025-05-19,1440.800048828125,1387.6200012207032,1297.1739965820314,,0,0,-0.0,0.0
2025-05-20,1424.5999755859375,1394.075,1302.24099609375,,0,0,-0.0,0.0
2025-05-21,1429.199951171875,1400.975,1307.5869946289063,,0,0,0.0,0.0
2025-05-22,1409.4000244140625,1406.445001220703,1312.2629956054689,,0,0,-0.0,0.0
2025-05-23,1426.800048828125,1412.7050048828125,1316.6069970703124,,0,0,0.0,0.0
2025-05-26,1434.800048828125,1419.4250061035157,1320.3069970703125,,0,0,0.0,0.0
2025-05-27,1422.0999755859375,1422.0900024414063,1323.98099609375,,0,0,-0.0,0.0
2025-05-28,1412.9000244140625,1422.7500061035157,1327.2929956054688,,0,0,-0.0,0.0
2025-05-29,1417.800048828125,1423.3900085449218,1330.5079956054688,,0,0,0.0,0.0
2025-05-30,1420.9000244140625,1423.4450073242188,1333.9679956054688,,0,0,0.0,0.0
2025-06-02,1413.699951171875,1422.5650024414062,1337.4649951171875,,0,0,-0.0,0.0
2025-06-03,1405.5,1421.7950012207032,1340.7979956054687,,0,0,-0.0,0.0
2025-06-04,1423.5,1422.6700012207032,1344.3249951171874,,0,0,0.0,0.0
2025-06-05,1442.4000244140625,1424.4400024414062,1347.7899951171876,,0,0,0.0,0.0
2025-06-06,1443.5,1427.7550048828125,1351.1329956054688,,0,0,0.0,0.0
2025-06-09,1448.800048828125,1428.3700073242187,1354.0669970703125,,0,0,0.0,0.0
2025-06-10,1438.5,1429.510009765625,1357.127998046875,,0,0,-0.0,0.0
2025-06-11,1448.9000244140625,1430.735009765625,1360.6449975585938,,0,0,0.0,0.0
2025-06-12,1441.5999755859375,1430.1050109863281,1363.912998046875,,0,0,-0.0,0.0
2025-06-13,1427.9000244140625,1428.6800109863282,1366.9689990234374,,0,0,-0.0,0.0
2025-06-16,1437.800048828125,1428.530010986328,1370.6730004882813,,0,0,0.0,0.0
2025-06-17,1431.199951171875,1428.860009765625,1374.2739990234375,,0,0,-0.0,0.0
2025-06-18,1430.0999755859375,1428.905010986328,1377.9019995117187,,0,0,-0.0,0.0
2025-06-19,1433.300048828125,1430.1000122070313,1382.4740014648437,,0,0,0.0,0.0
2025-06-20,1466.199951171875,1432.0700073242188,1388.4840014648437,,0,0,0.0,0.0
2025-06-23,1456.800048828125,1433.1700073242187,1393.9760034179687,,0,0,-0.0,0.0
2025-06-24,1450.800048828125,1434.6050109863281,1399.2850048828125,,0,0,-0.0,0.0
